iter	Passed	Remaining
0	1	1005
1	2	1235
2	3	1320
3	6	1504
4	7	1499
5	9	1523
6	10	1516
7	12	1501
8	13	1493
9	15	1491
10	16	1493
11	18	1493
12	19	1489
13	21	1501
14	23	1524
15	24	1517
16	26	1514
17	27	1508
18	29	1502
19	30	1500
20	32	1497
21	33	1494
22	35	1490
23	36	1494
24	38	1508
25	40	1511
26	41	1507
27	43	1504
28	45	1508
29	46	1504
30	48	1502
31	49	1500
32	51	1496
33	52	1493
34	54	1495
35	55	1498
36	57	1494
37	58	1490
38	60	1487
39	61	1484
40	63	1483
41	64	1480
42	66	1476
43	67	1474
44	69	1473
45	71	1473
46	72	1477
47	74	1474
48	75	1471
49	77	1469
50	78	1465
51	80	1466
52	82	1465
53	83	1463
54	85	1460
55	86	1460
56	88	1464
57	90	1462
58	91	1459
59	92	1456
60	94	1453
61	95	1451
62	97	1449
63	98	1447
64	100	1445
65	101	1442
66	103	1442
67	105	1444
68	106	1443
69	108	1440
70	109	1438
71	111	1435
72	112	1434
73	114	1432
74	115	1430
75	117	1427
76	119	1426
77	120	1425
78	122	1430
79	124	1431
80	126	1437
81	128	1436
82	131	1451
83	135	1474
84	138	1495
85	144	1534
86	147	1551
87	149	1548
88	151	1552
89	154	1563
90	156	1563
91	157	1557
92	159	1552
93	160	1548
94	162	1543
95	163	1539
96	164	1535
97	166	1530
98	167	1528
99	169	1529
100	171	1525
101	172	1521
102	174	1516
103	175	1512
104	176	1508
105	178	1504
106	179	1500
107	181	1495
108	182	1491
109	183	1488
110	185	1487
111	187	1483
112	188	1479
113	189	1474
114	191	1475
115	193	1472
116	194	1468
117	195	1464
118	197	1461
119	198	1457
120	200	1455
121	202	1455
122	203	1453
123	205	1450
124	206	1447
125	208	1444
126	209	1440
127	211	1437
128	212	1434
129	213	1431
130	215	1427
131	216	1426
132	218	1426
133	220	1423
134	221	1420
135	223	1416
136	224	1414
137	225	1410
138	227	1407
139	228	1405
140	230	1402
141	231	1400
142	233	1398
143	235	1398
144	236	1395
145	238	1392
146	239	1389
147	241	1387
148	242	1385
149	244	1382
150	245	1379
151	246	1377
152	248	1374
153	249	1372
154	251	1372
155	253	1369
156	254	1366
157	255	1364
158	257	1361
159	258	1358
160	260	1356
161	261	1354
162	263	1351
163	264	1349
164	266	1347
165	268	1347
166	269	1345
167	271	1342
168	272	1339
169	273	1336
170	275	1334
171	276	1331
172	277	1328
173	279	1326
174	280	1323
175	282	1322
176	284	1320
177	285	1318
178	286	1315
179	288	1313
180	289	1310
181	291	1308
182	292	1305
183	293	1303
184	295	1301
185	296	1299
186	298	1297
187	299	1294
188	301	1292
189	302	1289
190	303	1287
191	305	1285
192	306	1282
193	308	1280
194	309	1278
195	311	1276
196	312	1274
197	314	1272
198	315	1270
199	316	1267
200	318	1265
201	319	1263
202	321	1260
203	322	1258
204	323	1256
205	325	1254
206	326	1251
207	328	1250
208	329	1247
209	331	1245
210	332	1243
211	333	1241
212	335	1238
213	336	1236
214	338	1234
215	339	1232
216	340	1229
217	342	1227
218	343	1225
219	344	1222
220	346	1220
221	347	1218
222	349	1216
223	350	1213
224	351	1211
225	353	1209
226	354	1206
227	355	1204
228	357	1202
229	358	1200
230	360	1198
231	361	1196
232	362	1194
233	364	1193
234	365	1191
235	367	1189
236	368	1187
237	370	1185
238	371	1183
239	373	1181
240	374	1179
241	375	1177
242	377	1175
243	378	1173
244	379	1170
245	381	1169
246	382	1167
247	384	1165
248	385	1162
249	387	1161
250	388	1159
251	390	1158
252	391	1155
253	392	1153
254	394	1151
255	395	1149
256	396	1147
257	398	1145
258	399	1143
259	401	1141
260	402	1139
261	403	1136
262	405	1135
263	406	1133
264	407	1131
265	409	1128
266	410	1126
267	411	1124
268	413	1122
269	414	1120
270	415	1118
271	417	1117
272	418	1115
273	420	1113
274	421	1111
275	422	1109
276	424	1107
277	425	1105
278	427	1103
279	428	1101
280	429	1099
281	431	1097
282	432	1095
283	433	1093
284	435	1091
285	436	1089
286	437	1087
287	439	1085
288	440	1083
289	441	1081
290	443	1079
291	444	1077
292	445	1075
293	447	1073
294	448	1071
295	449	1069
296	450	1067
297	452	1065
298	453	1063
299	454	1061
300	456	1059
301	457	1057
302	458	1055
303	460	1053
304	461	1051
305	462	1049
306	464	1047
307	465	1045
308	466	1044
309	468	1042
310	469	1040
311	471	1038
312	472	1036
313	473	1035
314	475	1033
315	476	1032
316	478	1030
317	479	1028
318	480	1026
319	482	1024
320	483	1023
321	485	1021
322	486	1019
323	487	1017
324	489	1015
325	490	1014
326	491	1012
327	493	1010
328	494	1008
329	496	1007
330	497	1005
331	498	1003
332	500	1002
333	501	1000
334	502	998
335	504	996
336	505	994
337	507	993
338	508	991
339	509	989
340	511	987
341	512	985
342	513	984
343	515	982
344	516	980
345	518	979
346	519	977
347	520	975
348	522	973
349	523	971
350	524	970
351	526	968
352	527	966
353	528	965
354	530	963
355	531	961
356	533	960
357	534	958
358	535	956
359	537	954
360	538	953
361	539	951
362	541	949
363	542	948
364	543	946
365	545	944
366	546	943
367	548	941
368	549	939
369	550	937
370	552	936
371	553	934
372	554	932
373	556	931
374	557	929
375	559	928
376	560	926
377	561	924
378	563	923
379	564	921
380	566	919
381	567	918
382	568	916
383	570	914
384	571	913
385	573	911
386	574	909
387	575	908
388	577	906
389	579	905
390	580	904
391	582	902
392	583	901
393	584	899
394	586	897
395	587	896
396	589	894
397	590	893
398	591	891
399	593	889
400	594	888
401	596	886
402	597	885
403	598	883
404	600	881
405	602	880
406	603	879
407	604	877
408	606	875
409	607	874
410	608	872
411	610	871
412	611	869
413	613	868
414	614	866
415	615	864
416	617	862
417	618	861
418	619	859
419	621	857
420	622	856
421	623	854
422	625	853
423	626	851
424	628	849
425	629	848
426	631	846
427	632	845
428	633	843
429	635	841
430	636	840
431	637	838
432	639	837
433	640	835
434	642	834
435	643	832
436	644	830
437	646	829
438	647	827
439	649	826
440	650	824
441	651	823
442	653	821
443	654	819
444	656	818
445	657	816
446	659	816
447	661	814
448	662	813
449	664	811
450	665	810
451	666	808
452	668	807
453	669	805
454	671	803
455	672	802
456	673	800
457	675	799
458	676	797
459	678	796
460	679	794
461	680	792
462	682	791
463	683	789
464	685	788
465	686	787
466	688	785
467	689	784
468	691	782
469	692	780
470	693	779
471	695	777
472	696	775
473	697	774
474	699	772
475	700	771
476	701	769
477	703	767
478	704	766
479	705	764
480	707	763
481	709	762
482	710	760
483	712	759
484	713	757
485	714	756
486	716	754
487	717	752
488	719	751
489	720	749
490	721	748
491	722	746
492	724	744
493	725	743
494	727	741
495	728	740
496	729	738
497	731	737
498	732	735
499	734	734
500	736	733
501	737	731
502	738	729
503	740	729
504	742	727
505	743	726
506	744	724
507	746	722
508	747	721
509	749	719
510	750	718
511	751	716
512	753	714
513	754	713
514	756	712
515	757	710
516	758	708
517	760	707
518	761	705
519	762	704
520	764	702
521	765	701
522	767	699
523	768	698
524	769	696
525	771	695
526	772	693
527	774	692
528	775	690
529	777	689
530	778	687
531	779	686
532	781	684
533	782	682
534	783	681
535	785	679
536	786	678
537	788	676
538	789	675
539	790	673
540	792	672
541	793	670
542	794	669
543	796	667
544	797	666
545	799	664
546	800	663
547	802	661
548	803	660
549	805	658
550	806	657
551	807	655
552	809	654
553	810	652
554	812	651
555	813	649
556	815	648
557	816	646
558	817	645
559	819	643
560	820	642
561	821	640
562	823	639
563	824	637
564	826	635
565	827	634
566	828	632
567	830	631
568	831	629
569	832	628
570	834	626
571	835	625
572	836	623
573	838	622
574	839	620
575	841	619
576	842	617
577	843	616
578	845	614
579	846	613
580	848	611
581	849	610
582	850	608
583	852	607
584	853	605
585	854	603
586	856	602
587	857	600
588	859	599
589	860	597
590	861	596
591	863	594
592	864	593
593	865	591
594	867	590
595	868	588
596	870	587
597	871	585
598	872	584
599	874	582
600	875	581
601	877	579
602	878	578
603	879	576
604	881	575
605	882	573
606	884	572
607	885	571
608	887	569
609	888	568
610	890	566
611	891	565
612	892	563
613	894	562
614	895	560
615	897	559
616	898	557
617	899	556
618	901	554
619	902	553
620	904	551
621	905	550
622	906	548
623	908	547
624	909	545
625	911	544
626	912	542
627	913	541
628	915	539
629	916	538
630	917	536
631	919	535
632	920	533
633	922	532
634	923	530
635	925	529
636	926	527
637	927	526
638	929	524
639	930	523
640	931	521
641	933	520
642	934	518
643	935	517
644	937	515
645	938	514
646	940	512
647	941	511
648	942	509
649	944	508
650	945	506
651	946	505
652	948	503
653	949	502
654	951	500
655	952	499
656	953	497
657	955	496
658	956	495
659	958	493
660	959	492
661	960	490
662	962	489
663	963	487
664	964	486
665	966	484
666	967	483
667	969	481
668	970	480
669	971	478
670	973	477
671	974	475
672	975	474
673	977	472
674	978	471
675	980	469
676	981	468
677	982	466
678	984	465
679	985	463
680	986	462
681	988	460
682	989	459
683	991	457
684	992	456
685	993	454
686	995	453
687	996	451
688	997	450
689	999	448
690	1000	447
691	1002	446
692	1003	444
693	1004	443
694	1006	441
695	1007	440
696	1008	438
697	1010	437
698	1011	435
699	1013	434
700	1014	432
701	1016	431
702	1017	429
703	1018	428
704	1020	426
705	1021	425
706	1023	423
707	1024	422
708	1025	420
709	1027	419
710	1028	418
711	1029	416
712	1031	415
713	1032	413
714	1033	412
715	1035	410
716	1036	409
717	1038	407
718	1039	406
719	1040	404
720	1042	403
721	1043	401
